"Number of Registered Live Births by Sex and by Usual Residence of Mother (Region, Province and Highly Urbanized City), Philippines: January - December 2013-2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,
,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female
TOTAL,1761602,917110,844492,1748857,912465,836392,1744767,910877,833890,1731289,903694,827595,1700618,887972,812646,1668120,870832,797288,1673923,871750,802173,1528684,796543,732141,1364739,711434,653305,1455393,758038,697355
NATIONAL CAPITAL REGION (NCR),243626,127121,116505,239736,124691,115045,231766,121196,110570,219936,114535,105401,217480,113263,104217,216871,113301,103570,218490,113875,104615,198981,103482,95499,160946,83552,77394,160132,83122,77010
..City of Caloocan,31203,16269,14934,31014,16308,14706,30274,15918,14356,28225,14851,13374,27531,14253,13278,27350,14313,13037,26739,13972,12767,26524,13788,12736,21597,11255,10342,21373,11045,10328
..City of Las Piñas,11040,5743,5297,11268,5885,5383,10933,5672,5261,10238,5311,4927,10093,5255,4838,9802,5142,4660,9751,5042,4709,8743,4520,4223,7162,3725,3437,7261,3862,3399
..City of Makati,9599,5011,4588,9473,4944,4529,9374,4955,4419,8645,4568,4077,8108,4194,3914,7868,4178,3690,8014,4234,3780,7223,3775,3448,5370,2854,2516,5398,2716,2682
..City of Malabon,6456,3400,3056,6438,3283,3155,5965,3146,2819,5867,3082,2785,5721,3006,2715,5906,3061,2845,6025,3172,2853,5787,2998,2789,4664,2368,2296,5073,2619,2454
..City of Mandaluyong,7267,3851,3416,7252,3707,3545,6970,3619,3351,6606,3480,3126,6531,3404,3127,6481,3412,3069,6495,3408,3087,5773,2994,2779,4508,2380,2128,4392,2229,2163
..City of Manila,37834,19704,18130,35711,18467,17244,33108,17329,15779,32182,16749,15433,31536,16509,15027,31797,16586,15211,32055,16727,15328,27375,14344,13031,22454,11582,10872,23147,12136,11011
..City of Marikina,8121,4276,3845,8094,4216,3878,8147,4162,3985,7845,4068,3777,7467,3962,3505,7762,3999,3763,7737,3989,3748,7027,3695,3332,5653,2970,2683,5296,2712,2584
..City of Muntinlupa,8682,4542,4140,8727,4468,4259,8270,4312,3958,7391,3836,3555,7493,3915,3578,7894,4109,3785,8171,4256,3915,7093,3677,3416,5659,2943,2716,5876,3038,2838
..City of Navotas,4781,2522,2259,4583,2396,2187,4138,2167,1971,4130,2130,2000,4284,2245,2039,4179,2174,2005,4292,2202,2090,3817,1983,1834,3514,1806,1708,3564,1857,1707
..City of Parañaque,11963,6173,5790,11568,5926,5642,11529,6103,5426,10881,5605,5276,10924,5652,5272,11172,5866,5306,10939,5761,5178,9613,5053,4560,7968,4225,3743,8080,4226,3854
..Pasay City,7325,3806,3519,6918,3577,3341,6465,3372,3093,6423,3358,3065,6511,3416,3095,6415,3334,3081,6587,3503,3084,5534,2793,2741,4505,2350,2155,4773,2505,2268
